tconst,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,budget,id_TMDB,origin_country,original_language,overview,popularity_film,poster_path,revenue,spoken_languages,tagline,b_annonce,key_words
tt0066892,Carnal Knowledge,1971,98,"Comedy,Drama",6.9,15324,0.0,36492,['US'],en,"L'itinéraire sentimental, psychologique et sexuel de deux hommes : De l'adolescence à l'âge mûr, Jonathan et Sandy face à la femme, aux femmes, à la féminité.",14.227,https://media.themoviedb.org/t/p/original/iRVvKbgW43y302MzayYSWRotPqp.jpg,28623900.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Son heure est venue.,https://www.youtube.com/watch?v=CMWKempplfg,"['friends', 'sexual confusion']"
tt0067108,La folie des grandeurs,1971,85,"Adventure,Comedy,History",7.2,8194,0.0,14257,['FR'],fr,"Banni de la cour à cause d'un enfant illégitime, Don Salluste veut se venger de la reine. Il fait passer son valet Blaze pour son noble cousin Don Cesar, afin qu'il séduise la reine. Blaze remplit son rôle à merveille, mais c'est compter sans une encombrante duègne tombée amoureuse de lui, qui leur vaudra de finir tous trois aux galères…",11.146,https://media.themoviedb.org/t/p/original/pDdBiKnK0q4NrfrjNFZFjmoDvqc.jpg,0.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]","""Il est l'or Monseñior, l'or de se réveiller…""",https://www.youtube.com/watch?v=CPTkKsh0UOI,"['spain', 'based on novel or book', 'queen', 'giftmord', 'royalty', 'lord', 'conspiracy', 'misunderstanding', 'disguise', 'valet', 'illegitimate child', 'interclass romance', 'public disgrace', 'stingy']"
tt0067274,Jo,1971,85,"Comedy,Crime,Thriller",7.1,3790,0.0,12598,['FR'],fr,"Antoine Brisebard, auteur à succès, est victime d'un maître chanteur qui menace de l'atteindre en dévoilant les origines familiales de sa femme. Résolu à se débarrasser de Jo, le responsable du chantage, Antoine prétexte l'écriture d'une pièce policière afin de recueillir auprès de qui veut l'entendre les ingrédients du crime parfait...",9.068,https://media.themoviedb.org/t/p/original/oO916dKqqKIWcQjUnbWjEcLF47Y.jpg,0.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]","Commettre un crime, c'est facile. Cacher un cadavre, c'est un meurtre.",https://www.youtube.com/watch?v=esc6h-YK-ZU,"['police', 'blackmail', 'firearm', 'author', 'hidden corpse']"
tt0067637,Les pétroleuses,1971,94,"Action,Comedy,Western",5.2,1359,0.0,64345,"['FR', 'GB']",fr,"La bande des ""Frenchie King"", cinq soeurs hors-la-loi, a décidé de se ranger. Elles prennent alors possession du ranch de Little P. à la place de Doc Miller. Mais leur arrivée fait sensation et se heurte à l'hostilité de Maria Sarrazin qui fait pression sur le shériff pour qu'il les chasse. En réalité, Maria a découvert le plan d'une concession de pétrole sur la propriété des filles. Mais cette femme a quatre frères qui ne sont pas indifférent au charme ex-""frenchie King""..",15.1,https://media.themoviedb.org/t/p/original/51NA6iiYSkyc37inzMWqcwSWiG9.jpg,0.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",L'ouest n'est pas un endroit pour les hommes,https://www.youtube.com/watch?v=5EMcW7NLs5E,"['beauty', 'female gunfighter']"
tt0067778,Le souffle au coeur,1971,118,"Comedy,Drama",7.5,11089,0.0,42501,['FR'],fr,"Dijon 1954. Une famille bourgeoise. Laurent, 15 ans, vit avec son père, ses deux frères et sa mère, Clara. Sa vie se déroule en une suite de faits plus ou moins notables jusqu'au jour où il est atteint d'un souffle au cœur. Il part en compagnie de sa mère faire une cure dans le Morvan. Un tendre marivaudage s'instaure alors entre eux.",15.673,https://media.themoviedb.org/t/p/original/7JosnBDCu9fnJZlQ5Bw9u8cwQcE.jpg,0.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Un souffle de film!,https://www.youtube.com/watch?v=ll-ozPDRPVQ,"['jazz', 'sanatorium', 'incest', 'shoplifting', '1950s', 'boy scout', 'resort sex', 'mother son relationship', 'teenage protagonist', 'bastille day', 'dijon france']"
tt0067820,Taking Off,1971,93,"Comedy,Drama,Music",7.4,4934,0.0,59881,['US'],en,"Jeannie, 15 ans, a quitté le domicile familial pour s'installer avec un chanteur hippie. Partis à sa recherche, ses parents découvrent le New York effervescent du début des années 70...",6.697,https://media.themoviedb.org/t/p/original/hp2Qc81B3bFynqivAGTtIZS4C0l.jpg,0.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,https://www.youtube.com/watch?v=UWbLZus4ZOA,"['musical', 'pot smoking', 'marijuana', 'anti establishment', 'missing daughter']"
tt0067848,They Might Be Giants,1971,91,"Comedy,Mystery,Romance",6.7,3423,0.0,27841,['US'],en,Les aventures d'un Sherlock Holmes moderne et du Dr. Watson dans la ville de New York.,6.877,https://media.themoviedb.org/t/p/original/7agp9qPFfYxzSlTGyOioPltvYfu.jpg,0.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,https://www.youtube.com/watch?v=_Yr2TagiovI,"['new york city', 'loss of loved one', 'suppressed past', 'based on play or musical', 'psychiatrist', 'mental illness', 'psychiatry', 'female psychiatrist', 'sherlock holmes']"
tt0068205,L'amour l'après-midi,1972,97,"Comedy,Drama,Romance",7.6,9638,0.0,12116,['FR'],fr,"Un jeune président-directeur général dont la vie est réglée comme du papier à musique rencontre un jour dans les rues de Paris Chloé, une ancienne camarade, libre, fantasque, révoltée… Notre jeune cadre est désarçonné par la non-conformité de son amie et tombe amoureux de la belle. Mais leur monde est par trop différent.",8.656,https://media.themoviedb.org/t/p/original/rxanbhxeX3oU6hREpRZ85FbmKmz.jpg,0.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",,https://www.youtube.com/watch?v=6tskKIwZgGY,"['infidelity', 'marriage crisis', 'man between two women', 'womanizer']"
tt0068226,The Assassination of Trotsky,1972,103,"Biography,Drama,History",5.7,2023,2500000.0,4702,"['US', 'GB']",en,"Reconstitution fidèle de l'assassinat du rival de Staline par Jackson qui par l'intermédiaire de Gita, une amie de Trotsky, réussit à gagner sa confiance.",3.879,https://media.themoviedb.org/t/p/original/EdgBHTsCoEZdfmveVcaoMkwzlh.jpg,0.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,https://www.youtube.com/watch?v=qeF4CqXofU4,"['assassination', 'exile', 'biography']"
tt0068361,Le charme discret de la bourgeoisie,1972,102,"Comedy,Drama,Fantasy",7.8,47804,800000.0,4593,['FR'],fr,"Les Thévenot viennent dîner chez les Sénéchal. Surprise : le repas était prévu pour le lendemain. Thévenot invite tout le monde dans une auberge transformée en salle mortuaire. Nouvelle réception, le samedi, mais cette fois les Sénéchal sont occupés… Le dîner sera ainsi sans cesse repoussé pour des raisons tout aussi absurdes les unes que les autres.",14.043,https://media.themoviedb.org/t/p/original/48EAleS3g4BIMV0vZ3CSIcZyx01.jpg,103230.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Un groupe d'amis essaie en vain de dîner ensemble.,https://www.youtube.com/watch?v=Z_IXWplzGWs,"['diplomat', 'dream', 'nightmare', 'upper class', 'date', 'drug trafficking', 'guest', 'bishop', 'restaurant', 'surreal', 'bourgeoisie', 'satire', 'surrealism', 'dinner', 'terrorism', 'drink', 'dream within a dream', 'small talk', 'anarchic comedy', 'absurd', 'unexpected situation']"
